,Unnamed: 0,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL,type_Public,combined_25_5,combined_50_10,combined_5_1,combined_10_2,combined_<5_1,prop_high_speed,CENSUS_ID,MEDIAN_INCOME,LOG_MEDIAN_INCOME
43,219,2019/2020,3535050,Walnut Grove Secondary,35,Langley,Public,8919 Walnut Grove Dr,Langley,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.16558914,-122.6410994,2019,Langley,Gr 12 enrolment: 390,0.8,11.6,17.0,72.4,3.1,98.1,0.4,7.6,1,0.0012371134020618556,0.996701030927835,0.0004123711340206186,0.0,0.0016494845360824743,0.9979381443298969,5915001,90594,11.414143264672525
44,224,2019/2020,3535056,Langley Fundamental Middle/Secondary Sch,35,Langley,Public,21250 42 Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.0779818,-122.6348359,2019,Langley,Gr 12 enrolment: 105,0.1,11.5,0.0,72.6,4.8,100.0,3.9,7.8,1,0.0,0.9981941309255079,0.0,0.0,0.0009029345372460496,0.9981941309255079,5915001,90594,11.414143264672525
45,229,2019/2020,3596289,Credo Christian Schools,35,Langley,Independent,21846 52 Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.0957102,-122.6171619,2019,Langley,Gr 12 enrolment: 61,0.0,6.6,0.0,68.6,3.6,98.3,3.2,7.0,0,0.0,1.0,0.0,0.0,0.0,1.0,5915001,90594,11.414143264672525
46,234,2019/2020,3596311,Langley Christian,35,Langley,Independent,22930 48 Ave,Langley,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.08856625,-122.5893988,2019,Langley,Gr 12 enrolment: 76,0.0,7.2,0.0,70.8,2.7,100.0,4.2,7.1,0,0.0,1.0,0.0,0.0,0.0,1.0,5915001,90594,11.414143264672525
47,239,2019/2020,3636022,Queen Elizabeth Secondary,36,Surrey,Public,9457 King George Blvd,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.17462301,-122.8473212,2019,Surrey,Gr 12 enrolment: 288,6.1,10.2,0.0,63.9,18.9,91.9,23.9,2.6,1,0.0,1.0,0.0,0.0,0.0,1.0,5915004,77494,11.257955792989566
48,244,2019/2020,3636028,North Surrey Secondary,36,Surrey,Public,15945 96 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1783541,-122.7804005,2019,Surrey,Gr 12 enrolment: 299,6.5,11.5,0.0,67.2,8.0,96.6,8.9,5.9,1,0.0,1.0,0.0,0.0,0.0,1.0,5915004,77494,11.257955792989566
49,249,2019/2020,3636041,Lord Tweedsmuir Secondary,36,Surrey,Public,6151 180 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.11497906,-122.7245186,2019,Surrey,Gr 12 enrolment: 395,1.8,14.5,2.8,69.9,3.6,95.2,11.7,6.6,1,0.0,0.9995513683266039,0.0,0.0,0.00044863167339614175,0.9995513683266039,5915004,77494,11.257955792989566
50,254,2019/2020,3636045,Johnston Heights Secondary,36,Surrey,Public,15350 99 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.18201273,-122.7972696,2019,Surrey,Gr 12 enrolment: 320,12.7,12.8,0.0,70.0,6.5,97.6,10.0,7.0,1,0.0,1.0,0.0,0.0,0.0,1.0,5915004,77494,11.257955792989566
51,259,2019/2020,3636047,Guildford Park Secondary,36,Surrey,Public,10707 146 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19721724,-122.8186065,2019,Surrey,Gr 12 enrolment: 288,21.1,17.6,0.0,64.4,12.9,94.0,17.8,4.9,1,0.0,0.9911504424778761,0.008849557522123894,0.0,0.0,0.9911504424778761,5915004,77494,11.257955792989566
52,264,2019/2020,3636049,Semiahmoo Secondary,36,Surrey,Public,1785 148 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.0351116,-122.8129712,2019,Surrey,Gr 12 enrolment: 353,10.8,8.6,0.0,74.1,4.7,98.5,7.1,7.2,1,0.0,1.0,0.0,0.0,0.0,1.0,5915004,77494,11.257955792989566
