,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
59,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Public,2019,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,67.6,8.4,100.0,0.2,5.4
60,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,Public,2015,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,67.7,10.3,98.3,6.4,6.6
61,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,Public,2016,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,69.3,7.3,100.0,6.1,7.1
62,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,Public,2017,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,70.0,3.9,95.0,10.7,7.5
63,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,Public,2018,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,73.1,4.6,96.5,10.5,7.2
64,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,Public,2019,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,72.2,0.7,98.8,3.3,8.0
65,2019/2020,2222007,W L Seaton Secondary,22,Vernon,Public,2701 41 Ave,Vernon,Standard School                         ,SECONDARY,YES,YES,NO,NO,50.2729109,-119.2679834,Public,2015,Vernon,Gr 12 enrolment: 165,0.8,9.2,45.8,66.6,12.8,98.4,16.2,5.2
66,2019/2020,2222007,W L Seaton Secondary,22,Vernon,Public,2701 41 Ave,Vernon,Standard School                         ,SECONDARY,YES,YES,NO,NO,50.2729109,-119.2679834,Public,2016,Vernon,Gr 12 enrolment: 165,0.8,9.2,45.8,67.1,12.2,96.6,14.0,5.6
67,2019/2020,2222007,W L Seaton Secondary,22,Vernon,Public,2701 41 Ave,Vernon,Standard School                         ,SECONDARY,YES,YES,NO,NO,50.2729109,-119.2679834,Public,2017,Vernon,Gr 12 enrolment: 165,0.8,9.2,45.8,67.9,11.5,94.8,23.4,5.2
68,2019/2020,2222007,W L Seaton Secondary,22,Vernon,Public,2701 41 Ave,Vernon,Standard School                         ,SECONDARY,YES,YES,NO,NO,50.2729109,-119.2679834,Public,2018,Vernon,Gr 12 enrolment: 165,0.8,9.2,45.8,70.3,8.6,98.5,18.9,5.9
