,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME_x,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_NAME_y,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
271,2019/2020,3636045,Johnston Heights Secondary,36,Surrey,Public,15350 99 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.18201273,-122.7972696,Johnston Heights,Public,2019,Surrey,320,12.7,12.8,0.0,70.0,6.5,97.6,10.0,7.0
289,2019/2020,3636047,Guildford Park Secondary,36,Surrey,Public,10707 146 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19721724,-122.8186065,Guildford Park,Public,2019,Surrey,288,21.1,17.6,0.0,64.4,12.9,94.0,17.8,4.9
317,2019/2020,3636049,Semiahmoo Secondary,36,Surrey,Public,1785 148 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.0351116,-122.8129712,Semiahmoo,Public,2019,Surrey,353,10.8,8.6,0.0,74.1,4.7,98.5,7.1,7.2
330,2019/2020,3636079,L A Matheson Secondary,36,Surrey,Public,9484 122 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.17536488,-122.8834549,L A Matheson,Public,2019,Surrey,233,10.9,13.7,0.0,62.6,14.2,91.7,23.0,3.5
340,2019/2020,3636105,Earl Marriott Secondary,36,Surrey,Public,15751 16 Ave,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.03164575,-122.7854438,Earl Marriott,Public,2019,Surrey,317,3.1,11.3,23.5,68.4,8.4,98.3,7.8,5.9
363,2019/2020,3636106,Frank Hurt Secondary,36,Surrey,Public,13940 77 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.14230928,-122.8359391,Frank Hurt,Public,2019,Surrey,274,21.0,12.9,0.0,65.2,12.4,94.2,20.6,5.2
380,2019/2020,3636114,Enver Creek Secondary,36,Surrey,Public,14505 84 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1558268,-122.8202437,Enver Creek,Public,2019,Surrey,282,6.9,9.8,0.0,67.4,8.9,98.0,8.2,5.5
402,2019/2020,3636141,Fraser Heights Secondary,36,Surrey,Public,16060 108 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.197924,-122.7769818,Fraser Heights,Public,2019,Surrey,294,6.5,9.0,0.0,72.0,6.6,97.4,7.4,7.1
433,2019/2020,3636150,Tamanawis Secondary,36,Surrey,Public,12600 66 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12210518,-122.8715022,Tamanawis,Public,2019,Surrey,304,9.9,8.2,0.0,66.7,9.2,95.7,11.3,5.3
436,2019/2020,3636156,Elgin Park Secondary,36,Surrey,Public,13484 24 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04485284,-122.8486418,Elgin Park,Public,2019,Surrey,261,9.5,12.0,0.0,71.0,6.9,98.7,5.8,6.7
470,2019/2020,3636164,Sullivan Heights Secondary,36,Surrey,Public,6248 144 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.11641756,-122.8217431,Sullivan Heights,Public,2019,Surrey,329,7.1,9.0,0.0,68.4,7.5,95.4,11.3,5.5
476,2019/2020,3636167,Fleetwood Park Secondary,36,Surrey,Public,7940 156 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.14779053,-122.7888756,Fleetwood Park,Public,2019,Surrey,304,9.1,9.3,0.0,70.3,5.2,96.8,8.9,7.0
491,2019/2020,3636175,Clayton Heights Secondary,36,Surrey,Public,7003 188 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.12907463,-122.7032007,Clayton Heights,Public,2019,Surrey,278,5.0,13.9,0.0,67.3,10.1,95.8,11.0,5.4
542,2019/2020,3636232,Panorama Ridge Secondary,36,Surrey,Public,13220 64 Ave,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.11814368,-122.8551692,Panorama Ridge,Public,2019,Surrey,304,5.3,8.1,12.6,68.2,8.1,97.2,6.7,6.1
581,2019/2020,3636246,Princess Margaret Secondary,36,Surrey,Public,12870 72 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.13179769,-122.8657613,Princess Margaret,Public,2019,Surrey,278,17.9,10.4,0.0,65.5,10.9,91.9,18.0,4.2
595,2019/2020,3636248,Kwantlen Park Secondary,36,Surrey,Public,10441 132 St,Surrey,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.19251433,-122.8577438,Kwantlen Park,Public,2019,Surrey,273,11.3,10.8,17.5,66.3,12.3,89.4,21.1,3.3
611,2019/2020,3696166,Holy Cross Regional High School,36,Surrey,Independent,16193 88 Ave,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16397577,-122.7751833,Holy Cross,Independent,2019,Surrey,164,0.0,8.2,0.0,69.6,2.5,100.0,0.7,6.8
622,2019/2020,3696266,Surrey Christian,36,Surrey,Independent,8930-162 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.16417683,-122.7726238,Surrey Christian,Independent,2019,Surrey,107,1.9,8.7,0.1,70.7,7.7,100.0,4.9,6.4
631,2019/2020,3696394,Pacific Academy,36,Surrey,Independent,10238 168 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.18886767,-122.7552654,Pacific Academy,Independent,2019,Surrey,115,1.0,7.0,0.0,77.2,0.9,100.0,1.4,8.7
638,2019/2020,3696476,Regent Christian Academy,36,Surrey,Independent,15100 66A Ave,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.12247027,-122.8041244,Regent Christian,Independent,2019,Surrey,54,0.3,5.0,0.0,68.9,13.7,96.2,2.5,5.3
642,2019/2020,3696585,Khalsa Secondary School (Surrey),36,Surrey,Independent,10589 124 St,Surrey,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.19428758,-122.8790186,Khalsa,Independent,2019,Surrey,55,0.0,0.6,0.0,67.2,10.0,98.1,11.5,4.4
657,2019/2020,3696610,Southridge School,36,Surrey,Independent,2656 160 St,Surrey,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.05064637,-122.7761638,Southridge,Independent,2019,Surrey,70,0.0,6.2,0.0,85.4,0.0,100.0,0.0,10.0
678,2019/2020,3737003,Delta Secondary,37,Delta,Public,4615 51 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.08615943,-123.0841377,Delta,Public,2019,Delta,245,1.1,21.3,0.3,66.1,7.6,97.6,7.7,6.3
685,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,Delta,Public,2019,Delta,245,1.1,21.3,0.3,66.1,7.6,97.6,7.7,6.3
687,2019/2020,3737012,North Delta Secondary,37,Delta,Public,11447 82 Ave,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.1531698,-122.9049721,North Delta,Public,2019,Delta,225,6.5,12.5,0.0,65.2,11.7,94.8,12.4,4.9
693,2019/2020,3737021,Delview Secondary,37,Delta,Public,9111 116 St,Delta,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.16909079,-122.9023101,Delview,Public,2019,Delta,133,3.9,17.9,0.0,66.5,7.6,100.0,1.1,6.7
698,2019/2020,3737034,Burnsview Secondary,37,Delta,Public,7658 112 St,Delta,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.14179638,-122.9116716,Burnsview,Public,2019,Delta,143,5.9,10.1,41.7,68.5,7.2,98.5,5.0,6.4
